iter	Passed	Remaining
681	14180	19565
682	14198	19541
683	14218	19519
684	14237	19496
685	14257	19474
686	14277	19451
687	14294	19426
688	14326	19421
689	14395	19465
690	14490	19544
691	14589	19628
692	14610	19607
693	14633	19588
694	14683	19606
695	14708	19589
696	14728	19567
697	14749	19545
698	14768	19522
699	14788	19499
700	14812	19481
701	14832	19459
702	14851	19435
703	14869	19410
704	14887	19385
705	14909	19365
706	14929	19343
707	14949	19320
708	14972	19301
709	14990	19275
710	15009	19252
711	15034	19236
712	15066	19229
713	15087	19207
714	15110	19188
715	15131	19167
716	15152	19146
717	15175	19127
718	15194	19104
719	15215	19082
720	15237	19062
721	15255	19037
722	15275	19015
723	15295	18992
724	15317	18972
725	15342	18955
726	15361	18931
727	15381	18910
728	15402	18888
729	15422	18866
730	15444	18845
731	15465	18824
732	15484	18801
733	15504	18779
734	15525	18757
735	15545	18735
